pred_value,true_value,predict_value,true_value
-0.02243698313587905,1.0,0.0,1.0
-0.13828697980181873,1.0,1.0,1.0
-0.027156780399024485,0.0,1.0,0.0
-0.04756047282727063,1.0,1.0,1.0
-0.04468219514065981,1.0,1.0,1.0
-0.04267362623387576,0.0,1.0,0.0
-0.0627563078264296,1.0,0.0,1.0
-0.07662528364935517,0.0,1.0,0.0
-0.04851432368920744,0.0,1.0,0.0
-0.013459244820266975,1.0,1.0,1.0
-0.0760568548982367,1.0,0.0,1.0
-0.10753930080098659,1.0,0.0,1.0
-0.09702147773407027,0.0,0.0,0.0
-0.15194781356745957,1.0,0.0,1.0
-0.0782362731687501,0.0,1.0,0.0
-0.054783013183489444,1.0,0.0,1.0
-0.10531659788468481,0.0,1.0,0.0
-0.06481668314868212,1.0,1.0,1.0
-0.022703707273542886,0.0,0.0,0.0
-0.09536967633275874,1.0,1.0,1.0
-0.02273878505000472,1.0,0.0,1.0
-0.09052927356103063,0.0,1.0,0.0
-0.07885656848484278,1.0,1.0,1.0
-0.018106876829355967,1.0,0.0,1.0
-0.06398066163027287,0.0,0.0,0.0
-0.061544224521756175,0.0,1.0,0.0
-0.03570820024722815,1.0,0.0,1.0
-0.052068660591036084,1.0,0.0,1.0
-0.12185565803294629,0.0,0.0,0.0
-0.053238349108785395,0.0,0.0,0.0
-0.16275977214017512,1.0,0.0,1.0
-0.07387121115387976,1.0,1.0,1.0
-0.060665150110065943,1.0,1.0,1.0
-0.015015701736301193,0.0,1.0,0.0
-0.08138280968997255,1.0,1.0,1.0
-0.05253162426026166,1.0,0.0,1.0
-0.1311292912274003,1.0,0.0,1.0
-0.13292741470465064,0.0,1.0,0.0
-0.028025452484428892,0.0,1.0,0.0
-0.04601460576245189,1.0,0.0,1.0
-0.14668978083597123,0.0,0.0,0.0
-0.11189831955963374,1.0,0.0,1.0
-0.0709414171847105,1.0,1.0,1.0
-0.03812690386617184,1.0,0.0,1.0
-0.1541243906583786,0.0,0.0,0.0
-0.043088120016098026,0.0,0.0,0.0
-0.16140907606863975,1.0,0.0,1.0
-0.16627160457068682,0.0,0.0,0.0
-0.15484675791659952,0.0,1.0,0.0
-0.02333376980790497,1.0,0.0,1.0
-0.09937234155606106,0.0,0.0,0.0
